domain,company_name,icp_match,vertical,persona_match,company_stage,ai_native_maturity,regulatory_data_exposure,agent_deployment_stage,geo_fit,size_fit,buyer_name,buyer_title,buyer_accessibility,wrong_fit_risk,score_total,score_breakdown,tier,reachability_notes,rationale,sources,confidence,first_seen,last_researched,status,outcome
dash0.com,Dash0,ICP1,,1A,On-target,Strong,Implicit,Production agents,EU,In range (20-200),Mirko Novakovic,Founder & CEO,Named,False,100,icp_match=25;core_signal=20;size_fit=15;company_stage=10;geo_fit=15;buyer_accessibility=15;wrong_fit_penalty=0,Hot,"CEO publicly named via company blog, press coverage, and Slush speaker profile; no direct contact info captured (per instructions).","Dash0's own product is an AI-native observability platform whose Agent0 SRE agent autonomously opens remediation PRs, controls deployments, and responds to security anomalies in production - Dash0's own AI runtime is precisely the kind of unmonitored/unauditable agent-action attack surface Blindsight sells protection for, making it a strong ICP1 fit (with a notable secondary ICP3 fit given Agent0's unsupervised production actions). Caveat: since the Oct 2025 $35M Series A cited in the brief, Dash0 closed a $110M Series B (Mar 2026) at a $1B unicorn valuation with ~130-167 employees - still within the Series A-B / 20-200 band but at its upper edge, and now split between a New York HQ and its original German legal entity (Dash0 GmbH, Solingen).","https://sifted.eu/articles/cherry-ventures-accel-35m-dash0;https://www.dash0.com/blog/dash0-raises-usd35-million-series-a;https://siliconangle.com/2025/10/02/dash0-lands-35m-expand-ai-native-observability-platform-us-europe/;https://www.dash0.com/blog/dash0-raises-usd110m-series-b;https://www.dash0.com/ai-sre-agent;https://www.dash0.com/blog/agent0-ai-sre-agent;https://www.northdata.com/Dash0%20GmbH,%20Solingen/Amtsgericht%20Wuppertal%20HRB%2034672;https://slush.org/program/mirko-novakovic",medium,2026-07-11,2026-07-11,active,
deepjudge.ai,DeepJudge,ICP1,,1B,On-target,Strong,Explicit,Production agents,EU,In range (20-200),Yannic Kilcher,CTO & Co-Founder,Named,false,100,icp_match=25;core_signal=20;size_fit=15;company_stage=10;geo_fit=15;buyer_accessibility=15;wrong_fit_penalty=0,Hot,CTO & co-founder Yannic Kilcher is publicly named and active in press/media; CEO Paulina Grnarova also publicly visible via press/interviews.,"Zurich-based (EU), Series A ($41M led by Felicis/Coatue, $300M valuation), ~34-80 employees. Core product is a proprietary LLM + RAG enterprise search engine for legal teams, continuously shipping AI features (AI Workflow Builder, AI Agents Suite, partnerships with Thomson Reuters CoCounsel, Harvey, Epiq) - strong ICP1 fit. Secondary fits: ICP2 (legaltech handling privileged law-firm data) and ICP3 (production AI agent workflows).",https://www.deepjudge.ai/; https://www.forbes.com/sites/aliciapark/2025/11/04/meet-the-ex-google-researchers-building-ai-search-for-law-firms/; https://www.venturelab.swiss/USD-42M-Series-A-for-DeepJudges-AI-knowledge-platform-for-law-firms,high,2026-07-10,2026-07-10,active,
equilibre.ai,EquiLibre Technologies,ICP3,,3B,On-target,Strong,Explicit,Production agents,EU,In range (20-200),Rudolf Kadlec,Co-Founder & CTO,Named,false,100,icp_match=25;core_signal=20;size_fit=15;company_stage=10;geo_fit=15;buyer_accessibility=15;wrong_fit_penalty=0,Hot,"hiring@equilibre.ai public contact; CEO Martin Schmid, CTO Rudolf Kadlec, CSO Matej Moravcik all named with LinkedIn/Crunchbase profiles.","Prague-based AI lab (ex-DeepMind trio) building proprietary RL trading agents that autonomously execute trades with real capital, trading billions in daily volume across S&P500/Nasdaq/crypto in partnership with Tower Research Capital - textbook ICP3 production-agent deployment with real financial stakes. Series A ($500M+ valuation, led by Creandum, closed June 30 2026); ~25 employees; explicit financial-services regulatory exposure.",https://equilibre.ai/; https://techcrunch.com/2026/06/30/the-deepmind-trio-who-built-a-poker-ai-are-now-making-money-for-quant-hedge-funds/; https://techfundingnews.com/equilibre-series-a-500m-ai-trading-agents-creandum/,high,2026-07-10,2026-07-10,watchlist,
filigran.io,Filigran,ICP1,,1A,Adjacent,Strong,Implicit,Production agents,EU,Out of range,Samuel Hassine,CEO & Co-Founder,Named,True,70,icp_match=25;core_signal=20;size_fit=0;company_stage=5;geo_fit=15;buyer_accessibility=15;wrong_fit_penalty=-10,Hot,"CEO/Co-founder publicly named on Filigran leadership page, Crunchbase, and press coverage (Sifted, TechCrunch); likely reachable via LinkedIn.","Paris-based (HQ Paris + NY) open-source cyber threat intel/exposure-management vendor (OpenCTI, OpenAEV, XTM One), founded 2022 by Samuel Hassine (CEO) and Julien Richard (CTO). Raised $58M Series C (~Oct 2025, Eurazeo Growth-led, Deutsche Telekom T.Capital + Accel + Insight Partners), total funding >$100M, expanding into Germany/DACH via Deutsche Telekom. Genuine AI-native product signal: June 2026 launch of XTM One is explicitly billed as an 'AI-Native Platform' with pre-packaged autonomous agents (threat enrichment, scenario building, remediation guidance), natural-language interface, and an open architecture letting customers bring their own LLM or build custom agents -- this is shipped production functionality, not a bolted-on chatbot, so it clears ICP1's AI-native bar despite being a security-category vendor. Secondary ICP3 (agentic) signal is real given the autonomous-agent framing, but ICP1 fits best since the core business is an AI-native security product, not agent-driven transactions. Headcount is the main size gap: LinkedIn lists 51-200 but more recent counts (Tracxn ~232 as of Mar 2026, other coverage citing 220+) put them above the 20-200 ICP1 band, and Series C is past the target A-B stage -- both flagged as Adjacent/Out of range rather than disqualifying. wrong_fit_risk flagged: Filigran is itself a security vendor (CTI/exposure-validation), so outreach risks reading as a peer/competitor pitch ('we already do security') rather than a customer conversation about securing their own AI runtime -- messaging should lead with the fact that XTM One's own agentic/LLM runtime is the exposure, not their product category.",https://filigran.io/press-releases/filigran-announces-a-new-58-million-funding-round-to-accelerate-its-growth-and-international-expansion/; https://sifted.eu/articles/cybersecurity-startup-filigran-raises-58m; https://filigran.io/press-releases/filigran-launches-xtm-one/; https://siliconangle.com/2026/06/09/filigran-launches-xtm-one-automate-threat-exposure-management-ai-agents/; https://filigran.io/leadership/; https://www.crunchbase.com/person/julien-richard; https://tracxn.com/d/companies/filigran/__RrJd7oxylCfzsVE3K2ivx9uimlzpsElPmJTO3WuLMNo,medium,2026-07-11,2026-07-11,active,
freshflow.ai,Freshflow,ICP1,,1A,On-target,Strong,None apparent,None,EU,In range (20-200),Avik Mukhija,Co-Founder & CEO,Named,False,100,icp_match=25;core_signal=20;size_fit=15;company_stage=10;geo_fit=15;buyer_accessibility=15;wrong_fit_penalty=0,Hot,"CEO & co-founder Avik Mukhija (ex-ETH Zurich ML researcher) is publicly named and active in press/podcasts (Startup Insider, Gazebo speaker profile, techfundingnews interviews); co-founder & CTO Carmine Paolino also publicly named as an alternate technical contact.","Berlin-based (EU) Series A ($10M led by Reimann Investors, June 2026) food-retail AI startup; ~45 employees across Berlin/Paris, in target size range. Product is a fully in-house, fresh-native ML/AI stack (proprietary demand forecasting, replenishment, inventory-control models) running in daily production at 9 grocery retailers (EDEKA, Carrefour, Intermarche, Stroetmann) with store staff accepting 93% of model recommendations - strong ai_native_maturity and continuous AI-feature shipping, core ICP1 signal. Recommendations are human-reviewed/accepted by staff rather than autonomously executed, so no evidence of production autonomous agents (agent_deployment_stage=None, no ICP3 secondary signal). Handles retailer sales/inventory data, not PII or other regulated personal data, so regulatory_data_exposure is None apparent (no forced ICP2 fit). Founder/CEO is technical (ML researcher background) and the clear economic buyer/de facto CISO - persona 1A.",https://www.esgtoday.com/freshflow-raises-10-million-to-help-retailers-tackle-food-waste/; https://freshflow.ai/blog/series-a/; https://techfundingnews.com/berlin-startup-freshflow-gulps-e6-5m-to-reinvent-supermarket-stocking-with-ai-and-cut-food-waste/; https://freshflow.ai/team/; https://theorg.com/org/freshflow/org-chart/avik-mukhija; https://www.reimann-investors.com/en/startups/news/freshflow-reimann-investors-series-a,medium,2026-07-11,2026-07-11,active,
fyxer.com,Fyxer,ICP1,,1A,On-target,Strong,Implicit,Production agents,EU,In range (20-200),Richard Hollingsworth,Co-Founder & CEO,Named,False,100,icp_match=25;core_signal=20;size_fit=15;company_stage=10;geo_fit=15;buyer_accessibility=15;wrong_fit_penalty=0,Hot,CEO publicly named across Sifted/Crunchbase/Madrona press; no direct contact info stored per policy.,"UK AI email/meeting assistant on proprietary LLMs (500k+ hrs of EA workflow data), shipping production agentic features (triage, drafting, meeting notes) processing inbox/calendar/meeting data; Series B, ~48 staff scaling toward ~100 — strong ICP1 fit; core attack surface (agent actions on sensitive comms) aligns directly with Blindsight's pitch.",https://sifted.eu/articles/ai-exec-assistant-startup-fyxer-raises-30m-to-expand-to-the-us;https://www.fyxer.com/blog/series-b-statement;https://www.uktech.news/ai/digital-assistant-startup-fyxer-ai-secures-22m-series-b-round-20250909;https://www.madrona.com/fyxer-ai-productivity-tools-for-email-and-meetings/;https://www.crunchbase.com/person/richard-hollingsworth-fdf8;https://www.fyxer.com/ai-email-assistant,high,2026-07-11,2026-07-11,active,
getvocal.ai,GetVocal,ICP1,,1A,On-target,Strong,Implicit,Production agents,EU,In range (20-200),Roy Moussa,CEO & Co-founder,Named,False,100,icp_match=25;core_signal=20;size_fit=15;company_stage=10;geo_fit=15;buyer_accessibility=15;wrong_fit_penalty=0,Hot,"CEO Roy Moussa is publicly active (press interviews, e.g. fintechprofile.com piece on AI governance for banks; company blog); CTO Antonin Bertin also publicly named as co-founder. No email/phone stored per policy.","GetVocal builds a proprietary graph-based conversational-AI OS shipping continuously as ""governed AI phone agents"" — a clean ICP1 fit (~60 employees, Paris/EU, $26M Series A Nov 2025, technical CEO/CTO founders as buyers). Strong ICP3 crossover: they already operate autonomous agents taking real customer-facing actions in production at scale (Glovo scaled 1→80 AI agents in ~12 weeks; live with Vodafone, Movistar, Europcar; Deutsche Telekom pilot), making their own agent runtime — and its human-in-the-loop ""Control Tower"" — a governance/security surface Blindsight could secure.",https://www.getvocal.ai/; https://www.getvocal.ai/about; https://www.cmswire.com/customer-experience/getvocal-raises-26m-series-a-to-scale-governed-ai-agents/; https://www.businesswire.com/news/home/20251118820169/en/Europes-GetVocal-raises-$26m-to-scale-trustworthy-conversational-agents-for-enterprises; https://www.eu-startups.com/2025/11/backed-with-e22-million-french-startup-getvocal-expands-its-hybrid-ai-built-for-the-5-that-actually-works/; https://www.fintechprofile.com/my-advice-to-banks-on-ai-roy-moussa-of-getvocal/,high,2026-07-11,2026-07-11,active,
hrflow.ai,HrFlow.ai,ICP1,,1A,Adjacent,Strong,Explicit,Piloting/building,EU,In range (20-200),Mouhidine Seiv,CEO & Founder,Named,true,85,icp_match=25;core_signal=20;size_fit=15;company_stage=5;geo_fit=15;buyer_accessibility=15;wrong_fit_penalty=-10,Hot,"CEO Mouhidine Seiv and CTO Thomas Zhu both publicly named via LinkedIn/press; Paris-based, 35 employees.","Paris-based AI-native HR-tech (founded 2016) building proprietary foundation models/agents ('Hiring SuperIntelligence') trained on 1.2B+ hiring decisions, exposed via production APIs. Strong secondary ICP2 signal: explicit candidate PII handling with documented GDPR/EU AI Act compliance. Just raised $7M/€6M pre-Series A (earlier than target Series A-B stage), hence wrong_fit_risk flagged.",https://hrflow.ai/; https://www.eu-startups.com/2026/04/hrflow-ai-secures-e6-million-pre-series-a-to-build-hiring-superintelligence-to-tackle-unemployment/; https://developers.hrflow.ai/docs/gdpr,medium,2026-07-10,2026-07-10,active,
lawx.de,LawX,ICP2,legaltech,2A,Adjacent,Moderate,Explicit,Piloting/building,EU,In range (20-200),Dr. Norman Koschmieder,Co-Founder & CEO / Managing Director,Named,true,85,icp_match=25;core_signal=20;size_fit=15;company_stage=5;geo_fit=15;buyer_accessibility=15;wrong_fit_penalty=-10,Hot,"CEO/co-founder Norman Koschmieder publicly named (LinkedIn, press); no dedicated CISO/DPO publicly identified; company is small (11-50 employees).","Berlin-based legaltech building an AI-powered 'operating system' for law firms/notaries (case management, document processing, AI-assisted templates). Raised EUR7.5M seed (Motive Partners), live since Nov 2025 with ~EUR1M ARR. Explicitly handles regulated, privileged client/notarial data; markets GDPR compliance, ISO 27001 (in progress), C5-certified German data centers - clean ICP2 legaltech profile. Genuinely seed-stage/young company, hence 'Adjacent' and wrong_fit_risk flagged.",https://www.lawx.de/; https://www.eu-startups.com/2026/05/berlin-based-lawx-raises-e7-5-million-to-build-an-ai-powered-operating-system-for-notaries-and-law-firms/; https://www.motivepartners.com/portfolio/lawx,medium,2026-07-10,2026-07-10,active,
legalfly.com,LegalFly,ICP1,,1A,On-target,Strong,Explicit,Production agents,EU,In range (20-200),Ruben Miessen,Co-Founder & CEO,Named,false,100,icp_match=25;core_signal=20;size_fit=15;company_stage=10;geo_fit=15;buyer_accessibility=15;wrong_fit_penalty=0,Hot,CEO Ruben Miessen publicly named on Crunchbase and LinkedIn; active careers page listing AI/data engineering roles.,"Belgian (Ghent + London) legaltech founded 2023; raised $16.3M/€15M Series A (Notion Capital). Ships an LLM-agnostic, RAG-based agentic AI workspace with production agents (contract review, drafting, compliance monitoring, due diligence) used by Allianz, Slaughter & May; 2025 Microsoft partnership. Secondary ICP2 (privileged legal data, GDPR) and ICP3 (production agents) signals noted.",https://tech.eu/2024/07/15/legalfly-raises-eur15m-series-a-for-ai-legal-platform/; https://www.legalfly.com/post/legalfly-secures-eu15-million-to-set-security-standard-in-ai-legal-services; https://www.legalfly.com/post/legalfly-and-microsoft-announce-collaboration-to-bring-privacy-first-legal-ai-to-enterprise,high,2026-07-10,2026-07-10,active,
lexroom.ai,Lexroom.ai,ICP1,,1B,On-target,Strong,Explicit,None,EU,In range (20-200),Andrea Lonza,CTO & Co-founder,Named,false,100,icp_match=25;core_signal=20;size_fit=15;company_stage=10;geo_fit=15;buyer_accessibility=15;wrong_fit_penalty=0,Hot,"Andrea Lonza (CTO, AI-engineering co-founder) publicly named in funding press coverage.","Milan-based GenAI legaltech; AI-native product built on a proprietary RAG database of 6M+ verified legal sources, shipping continuous AI features (clause extraction, document comparison, automated drafting). Funding moved from EUR2M seed to EUR16M Series A (Sept 2025) then $50M Series B (May 2026). Headcount ~90-137, ISO 27001 certified, GDPR/EU AI Act compliant with zero-retention policy - explicit sensitive legal/privacy/banking-law client data exposure.",https://www.vestbee.com/insights/articles/lexroom-raises-50-m; https://tech.eu/2026/05/19/lexroom-to-build-legal-ai-for-civil-law-europe-with-50m-series-b/; https://www.eu-startups.com/2026/05/italian-ai-legaltech-startup-lexroom-raises-e42-9-million-series-b-eight-months-after-e16-2-million-series-a/,high,2026-07-10,2026-07-10,active,
light.inc,Light,ICP3,,3B,On-target,Strong,Implicit,Production agents,EU,In range (20-200),Filip Kozjak,CTO & Co-founder,Named,false,100,icp_match=25;core_signal=20;size_fit=15;company_stage=10;geo_fit=15;buyer_accessibility=15;wrong_fit_penalty=0,Hot,CEO Jonathan Sanders and CTO Filip Kozjak publicly named as co-founders; company LinkedIn page active.,"Copenhagen-based, Series A ($30M led by Balderton, Sep 2025), founded 2022, ~89 employees. Product is an AI agent platform that autonomously runs core finance workflows in production (AR/AP, bookkeeping, bank reconciliation, tax/VAT, consolidation) - confirmed live production use (KeyShot case study, 80% reduction in manual finance work). Financial records represent implicit sensitive-data exposure.",https://www.balderton.com/news/light-raises-30m-series-a-to-replace-legacy-finance-systems-with-ai-native-platform/; https://www.cnbc.com/2025/09/25/ai-finance-startup-light-raises-funding-from-revolut-backer-balderton.html; https://www.atlar.com/blog/light-and-atlar-partner-to-create-the-first-end-to-end-ai-native-finance-stack,high,2026-07-10,2026-07-10,watchlist,
